anime_id,name,genre,type,episodes,members,genres_list
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,200630,"['Drama', ' Romance', ' School', ' Supernatural']"
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,793665,"['Action', ' Adventure', ' Drama', ' Fantasy', ' Magic', ' Military', ' Shounen']"
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,114262,"['Action', ' Comedy', ' Historical', ' Parody', ' Samurai', ' Sci-Fi', ' Shounen']"
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,673572,"['Sci-Fi', ' Thriller']"
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,151266,"['Action', ' Comedy', ' Historical', ' Parody', ' Samurai', ' Sci-Fi', ' Shounen']"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,93351,"['Comedy', ' Drama', ' School', ' Shounen', ' Sports']"
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,425855,"['Action', ' Adventure', ' Shounen', ' Super Power']"
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,80679,"['Drama', ' Military', ' Sci-Fi', ' Space']"
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,72534,"['Action', ' Comedy', ' Historical', ' Parody', ' Samurai', ' Sci-Fi', ' Shounen']"
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,81109,"['Action', ' Comedy', ' Historical', ' Parody', ' Samurai', ' Sci-Fi', ' Shounen']"
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,456749,"['Drama', ' Fantasy', ' Romance', ' Slice of Life', ' Supernatural']"
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,102733,"['Drama', ' School', ' Shounen']"
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,336376,"['Action', ' Comedy', ' Historical', ' Parody', ' Samurai', ' Sci-Fi', ' Shounen']"
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,572888,"['Action', ' Drama', ' Mecha', ' Military', ' Sci-Fi', ' Super Power']"
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,179342,"['Comedy', ' Drama', ' School', ' Shounen', ' Sports']"
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,466254,"['Adventure', ' Drama', ' Supernatural']"
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,416397,"['Drama', ' Music', ' Romance', ' School', ' Shounen']"
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,75894,"['Adventure', ' Fantasy', ' Historical', ' Mystery', ' Seinen', ' Slice of Life', ' Supernatural']"
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,226193,"['Fantasy', ' Slice of Life']"
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,715151,"['Action', ' Mecha', ' Military', ' School', ' Sci-Fi', ' Super Power']"
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,157670,"['Comedy', ' Drama', ' Shounen', ' Sports']"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,129307,"['Action', ' Drama', ' Historical', ' Martial Arts', ' Romance', ' Samurai']"
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,486824,"['Action', ' Adventure', ' Comedy', ' Drama', ' Sci-Fi', ' Space']"
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,552458,"['Action', ' Comedy', ' Parody', ' Sci-Fi', ' Seinen', ' Super Power', ' Supernatural']"
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,339556,"['Action', ' Adventure', ' Fantasy']"
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,240297,"['Comedy', ' Mystery', ' Romance', ' School', ' Sci-Fi', ' Supernatural']"
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,205959,"['Comedy', ' Mystery', ' Romance', ' Supernatural', ' Vampire']"
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,101351,"['Adventure', ' Fantasy', ' Historical', ' Mystery', ' Seinen', ' Slice of Life', ' Supernatural']"
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,300030,"['Adventure', ' Fantasy', ' Historical', ' Mystery', ' Seinen', ' Slice of Life', ' Supernatural']"
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,562962,"['Action', ' Adventure', ' Comedy', ' Mecha', ' Sci-Fi']"
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,268487,"['Comedy', ' Drama', ' School', ' Shounen', ' Slice of Life']"
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,38865,"['Drama', ' Fantasy', ' Shoujo', ' Slice of Life', ' Supernatural']"
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,88995,"['Comedy', ' Drama', ' Shounen', ' Sports']"
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,32266,"['Adventure', ' Fantasy', ' Historical', ' Mystery', ' Seinen', ' Slice of Life', ' Supernatural']"
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,98431,"['Drama', ' Fantasy', ' Shoujo', ' Slice of Life', ' Supernatural']"
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,333186,"['Adventure', ' Drama', ' Fantasy', ' Romance']"
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,340973,"['Action', ' Fantasy', ' Supernatural', ' Thriller']"
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,34347,"['Action', ' Mystery', ' Supernatural', ' Vampire']"
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,247562,"['Drama', ' Horror', ' Mystery', ' Police', ' Psychological', ' Seinen', ' Thriller']"
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,133620,"['Comedy', ' Drama', ' Romance', ' Shounen']"
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,1013917,"['Mystery', ' Police', ' Psychological', ' Supernatural', ' Thriller']"
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,16947,"['Comedy', ' Parody']"
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,176475,"['Action', ' Comedy', ' School', ' Shounen']"
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,284498,"['Comedy', ' Drama', ' School', ' Shounen', ' Sports']"
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,66756,"['Comedy', ' Drama', ' Shounen', ' Sports']"
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,111074,"['Action', ' Drama', ' Mystery', ' Romance', ' Supernatural', ' Thriller']"
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,102322,"['Drama', ' Fantasy', ' Shoujo', ' Slice of Life', ' Supernatural']"
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,97187,"['Psychological', ' Seinen', ' Sports']"
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,49036,"['Adventure', ' Fantasy', ' Historical', ' Mystery', ' Seinen', ' Slice of Life', ' Supernatural']"
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,402381,"['Mystery', ' Psychological', ' Seinen', ' Supernatural']"
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,122531,"['Mystery', ' Psychological', ' Romance']"
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,56162,"['Fantasy', ' Sci-Fi', ' Shounen', ' Slice of Life']"
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,33422,"['Comedy', ' Demons', ' Fantasy', ' Shoujo', ' Supernatural']"
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,139474,"['Drama', ' Historical', ' Seinen', ' Thriller']"
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,355839,"['Drama', ' Fantasy', ' Psychological', ' Thriller']"
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,82253,"['Action', ' Mecha', ' Sci-Fi', ' Space', ' Super Power']"
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,114173,"['Drama', ' Fantasy', ' Shoujo', ' Slice of Life', ' Supernatural']"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,463835,"['Drama', ' Slice of Life', ' Supernatural']"
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,184525,"['Comedy', ' School', ' Shounen', ' Sports']"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,192424,"['Sci-Fi', ' Thriller']"
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,197439,"['Drama', ' Romance', ' Shoujo', ' Supernatural']"
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,348951,"['Ecchi', ' School', ' Shounen']"
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,103178,"['Comedy', ' Sports']"
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,11104,"['Action', ' Comedy', ' Historical', ' Parody', ' Samurai', ' Sci-Fi', ' Shounen']"
